country,year,value,indicator
DEU,2000,53.398,employment_ratio
IND,2000,55.52,employment_ratio
USA,2000,63.506,employment_ratio
DEU,2001,53.398,employment_ratio
IND,2001,55.363,employment_ratio
USA,2001,62.746,employment_ratio
DEU,2002,52.888,employment_ratio
IND,2002,55.175,employment_ratio
USA,2002,61.793,employment_ratio
DEU,2003,52.19,employment_ratio
IND,2003,55.056,employment_ratio
USA,2003,61.314,employment_ratio
DEU,2004,51.294,employment_ratio
IND,2004,54.928,employment_ratio
USA,2004,61.407,employment_ratio
DEU,2005,51.803,employment_ratio
IND,2005,54.812,employment_ratio
USA,2005,61.742,employment_ratio
DEU,2006,52.934,employment_ratio
IND,2006,53.938,employment_ratio
USA,2006,62.162,employment_ratio
DEU,2007,53.907,employment_ratio
IND,2007,53.076,employment_ratio
USA,2007,61.99,employment_ratio
DEU,2008,54.651,employment_ratio
IND,2008,52.2,employment_ratio
USA,2008,61.226,employment_ratio
DEU,2009,54.545,employment_ratio
IND,2009,51.379,employment_ratio
USA,2009,58.412,employment_ratio
DEU,2010,55.134,employment_ratio
IND,2010,50.586,employment_ratio
USA,2010,57.592,employment_ratio
DEU,2011,56.282,employment_ratio
IND,2011,50.012,employment_ratio
USA,2011,57.574,employment_ratio
DEU,2012,56.737,employment_ratio
IND,2012,49.418,employment_ratio
USA,2012,58.017,employment_ratio
DEU,2013,57.074,employment_ratio
IND,2013,49.267,employment_ratio
USA,2013,58.108,employment_ratio
DEU,2014,57.371,employment_ratio
IND,2014,49.132,employment_ratio
USA,2014,58.595,employment_ratio
DEU,2015,57.442,employment_ratio
IND,2015,48.985,employment_ratio
USA,2015,58.979,employment_ratio
DEU,2016,57.932,employment_ratio
IND,2016,48.83,employment_ratio
USA,2016,59.391,employment_ratio
DEU,2017,58.366,employment_ratio
IND,2017,48.655,employment_ratio
USA,2017,59.824,employment_ratio
DEU,2018,58.8,employment_ratio
IND,2018,48.466,employment_ratio
USA,2018,60.153,employment_ratio
DEU,2019,59.368,employment_ratio
IND,2019,48.88,employment_ratio
USA,2019,60.543,employment_ratio
DEU,2020,58.131,employment_ratio
IND,2020,47.496,employment_ratio
USA,2020,56.598,employment_ratio
DEU,2021,58.224,employment_ratio
IND,2021,49.171,employment_ratio
USA,2021,58.211,employment_ratio
DEU,2022,58.926,employment_ratio
IND,2022,51.003,employment_ratio
USA,2022,59.538,employment_ratio
DEU,2023,59.175,employment_ratio
IND,2023,52.415,employment_ratio
USA,2023,59.821,employment_ratio
