country,year,value,indicator
DEU,2000,63.444,female_participation
IND,2000,36.247,female_participation
USA,2000,69.346,female_participation
DEU,2001,64.027,female_participation
IND,2001,36.336,female_participation
USA,2001,69.011,female_participation
DEU,2002,64.554,female_participation
IND,2002,36.428,female_participation
USA,2002,68.663,female_participation
DEU,2003,65.376,female_participation
IND,2003,36.523,female_participation
USA,2003,68.271,female_participation
DEU,2004,65.417,female_participation
IND,2004,36.618,female_participation
USA,2004,67.788,female_participation
DEU,2005,66.996,female_participation
IND,2005,36.716,female_participation
USA,2005,67.784,female_participation
DEU,2006,68.888,female_participation
IND,2006,35.279,female_participation
USA,2006,67.889,female_participation
DEU,2007,69.935,female_participation
IND,2007,33.876,female_participation
USA,2007,67.664,female_participation
DEU,2008,69.76,female_participation
IND,2008,32.51,female_participation
USA,2008,67.884,female_participation
DEU,2009,70.717,female_participation
IND,2009,31.182,female_participation
USA,2009,67.63,female_participation
DEU,2010,70.63,female_participation
IND,2010,29.892,female_participation
USA,2010,67.043,female_participation
DEU,2011,71.855,female_participation
IND,2011,29.023,female_participation
USA,2011,66.493,female_participation
DEU,2012,71.793,female_participation
IND,2012,28.177,female_participation
USA,2012,66.349,female_participation
DEU,2013,72.509,female_participation
IND,2013,28.115,female_participation
USA,2013,65.955,female_participation
DEU,2014,72.891,female_participation
IND,2014,28.091,female_participation
USA,2014,65.924,female_participation
DEU,2015,72.9,female_participation
IND,2015,28.109,female_participation
USA,2015,65.749,female_participation
DEU,2016,73.436,female_participation
IND,2016,28.148,female_participation
USA,2016,66.114,female_participation
DEU,2017,73.934,female_participation
IND,2017,28.201,female_participation
USA,2017,66.695,female_participation
DEU,2018,74.084,female_participation
IND,2018,28.243,female_participation
USA,2018,66.978,female_participation
DEU,2019,74.844,female_participation
IND,2019,28.268,female_participation
USA,2019,67.623,female_participation
DEU,2020,74.325,female_participation
IND,2020,27.781,female_participation
USA,2020,66.61,female_participation
DEU,2021,74.502,female_participation
IND,2021,29.66,female_participation
USA,2021,66.978,female_participation
DEU,2022,75.311,female_participation
IND,2022,31.427,female_participation
USA,2022,67.745,female_participation
DEU,2023,75.898,female_participation
IND,2023,33.229,female_participation
USA,2023,68.72,female_participation
DEU,2024,75.901,female_participation
IND,2024,34.806,female_participation
USA,2024,68.944,female_participation
DEU,2025,75.97,female_participation
IND,2025,34.875,female_participation
USA,2025,68.985,female_participation
