country,year,value,indicator
DEU,2000,27310.0,gni_per_capita
IND,2000,2070.0,gni_per_capita
USA,2000,36470.0,gni_per_capita
DEU,2001,28470.0,gni_per_capita
IND,2001,2180.0,gni_per_capita
USA,2001,37310.0,gni_per_capita
DEU,2002,29200.0,gni_per_capita
IND,2002,2260.0,gni_per_capita
USA,2002,38160.0,gni_per_capita
DEU,2003,29990.0,gni_per_capita
IND,2003,2440.0,gni_per_capita
USA,2003,39690.0,gni_per_capita
DEU,2004,31940.0,gni_per_capita
IND,2004,2660.0,gni_per_capita
USA,2004,41990.0,gni_per_capita
DEU,2005,32580.0,gni_per_capita
IND,2005,2920.0,gni_per_capita
USA,2005,44380.0,gni_per_capita
DEU,2006,35320.0,gni_per_capita
IND,2006,3200.0,gni_per_capita
USA,2006,46460.0,gni_per_capita
DEU,2007,37440.0,gni_per_capita
IND,2007,3490.0,gni_per_capita
USA,2007,48370.0,gni_per_capita
DEU,2008,38810.0,gni_per_capita
IND,2008,3610.0,gni_per_capita
USA,2008,49050.0,gni_per_capita
DEU,2009,38410.0,gni_per_capita
IND,2009,3860.0,gni_per_capita
USA,2009,47680.0,gni_per_capita
DEU,2010,40520.0,gni_per_capita
IND,2010,4160.0,gni_per_capita
USA,2010,49310.0,gni_per_capita
DEU,2011,44510.0,gni_per_capita
IND,2011,4420.0,gni_per_capita
USA,2011,50790.0,gni_per_capita
DEU,2012,45290.0,gni_per_capita
IND,2012,4760.0,gni_per_capita
USA,2012,52450.0,gni_per_capita
DEU,2013,46960.0,gni_per_capita
IND,2013,4950.0,gni_per_capita
USA,2013,54020.0,gni_per_capita
DEU,2014,48940.0,gni_per_capita
IND,2014,5130.0,gni_per_capita
USA,2014,55890.0,gni_per_capita
DEU,2015,49500.0,gni_per_capita
IND,2015,5360.0,gni_per_capita
USA,2015,57530.0,gni_per_capita
DEU,2016,53040.0,gni_per_capita
IND,2016,5730.0,gni_per_capita
USA,2016,58690.0,gni_per_capita
DEU,2017,55480.0,gni_per_capita
IND,2017,6080.0,gni_per_capita
USA,2017,60940.0,gni_per_capita
DEU,2018,58480.0,gni_per_capita
IND,2018,6640.0,gni_per_capita
USA,2018,63760.0,gni_per_capita
DEU,2019,61460.0,gni_per_capita
IND,2019,7080.0,gni_per_capita
USA,2019,66080.0,gni_per_capita
DEU,2020,60170.0,gni_per_capita
IND,2020,6870.0,gni_per_capita
USA,2020,65040.0,gni_per_capita
DEU,2021,64640.0,gni_per_capita
IND,2021,7960.0,gni_per_capita
USA,2021,71770.0,gni_per_capita
DEU,2022,71550.0,gni_per_capita
IND,2022,9080.0,gni_per_capita
USA,2022,78310.0,gni_per_capita
DEU,2023,74200.0,gni_per_capita
IND,2023,10180.0,gni_per_capita
USA,2023,82600.0,gni_per_capita
