country,year,value,indicator
DEU,2000,71.438,labour_participation
IND,2000,62.401,labour_participation
USA,2000,75.89,labour_participation
DEU,2001,71.646,labour_participation
IND,2001,62.253,labour_participation
USA,2001,75.467,labour_participation
DEU,2002,71.861,labour_participation
IND,2002,62.104,labour_participation
USA,2002,75.055,labour_participation
DEU,2003,72.368,labour_participation
IND,2003,61.955,labour_participation
USA,2003,74.453,labour_participation
DEU,2004,72.351,labour_participation
IND,2004,61.8,labour_participation
USA,2004,74.096,labour_participation
DEU,2005,73.891,labour_participation
IND,2005,61.646,labour_participation
USA,2005,74.034,labour_participation
DEU,2006,75.304,labour_participation
IND,2006,60.664,labour_participation
USA,2006,74.14,labour_participation
DEU,2007,75.917,labour_participation
IND,2007,59.7,labour_participation
USA,2007,73.904,labour_participation
DEU,2008,76.068,labour_participation
IND,2008,58.759,labour_participation
USA,2008,73.884,labour_participation
DEU,2009,76.415,labour_participation
IND,2009,57.843,labour_participation
USA,2009,73.218,labour_participation
DEU,2010,76.606,labour_participation
IND,2010,56.953,labour_participation
USA,2010,72.558,labour_participation
DEU,2011,77.022,labour_participation
IND,2011,56.314,labour_participation
USA,2011,72.03,labour_participation
DEU,2012,77.15,labour_participation
IND,2012,55.693,labour_participation
USA,2012,72.006,labour_participation
DEU,2013,77.605,labour_participation
IND,2013,55.608,labour_participation
USA,2013,71.751,labour_participation
DEU,2014,77.752,labour_participation
IND,2014,55.518,labour_participation
USA,2014,71.655,labour_participation
DEU,2015,77.575,labour_participation
IND,2015,55.422,labour_participation
USA,2015,71.583,labour_participation
DEU,2016,77.781,labour_participation
IND,2016,55.326,labour_participation
USA,2016,71.925,labour_participation
DEU,2017,78.178,labour_participation
IND,2017,55.23,labour_participation
USA,2017,72.301,labour_participation
DEU,2018,78.511,labour_participation
IND,2018,55.13,labour_participation
USA,2018,72.562,labour_participation
DEU,2019,79.208,labour_participation
IND,2019,55.026,labour_participation
USA,2019,73.017,labour_participation
DEU,2020,78.535,labour_participation
IND,2020,54.374,labour_participation
USA,2020,71.872,labour_participation
DEU,2021,78.655,labour_participation
IND,2021,55.481,labour_participation
USA,2021,72.233,labour_participation
DEU,2022,79.329,labour_participation
IND,2022,56.666,labour_participation
USA,2022,72.838,labour_participation
DEU,2023,79.762,labour_participation
IND,2023,57.925,labour_participation
USA,2023,73.572,labour_participation
