country,year,value,indicator
DEU,2000,7.917,unemployment_rate
IND,2000,7.589,unemployment_rate
USA,2000,3.992,unemployment_rate
DEU,2001,7.773,unemployment_rate
IND,2001,7.611,unemployment_rate
USA,2001,4.731,unemployment_rate
DEU,2002,8.482,unemployment_rate
IND,2002,7.681,unemployment_rate
USA,2002,5.783,unemployment_rate
DEU,2003,9.779,unemployment_rate
IND,2003,7.633,unemployment_rate
USA,2003,5.989,unemployment_rate
DEU,2004,10.727,unemployment_rate
IND,2004,7.598,unemployment_rate
USA,2004,5.529,unemployment_rate
DEU,2005,11.193,unemployment_rate
IND,2005,7.551,unemployment_rate
USA,2005,5.084,unemployment_rate
DEU,2006,10.277,unemployment_rate
IND,2006,7.553,unemployment_rate
USA,2006,4.623,unemployment_rate
DEU,2007,8.732,unemployment_rate
IND,2007,7.562,unemployment_rate
USA,2007,4.622,unemployment_rate
DEU,2008,7.508,unemployment_rate
IND,2008,7.629,unemployment_rate
USA,2008,5.784,unemployment_rate
DEU,2009,7.88,unemployment_rate
IND,2009,7.636,unemployment_rate
USA,2009,9.254,unemployment_rate
DEU,2010,7.043,unemployment_rate
IND,2010,7.631,unemployment_rate
USA,2010,9.633,unemployment_rate
DEU,2011,5.967,unemployment_rate
IND,2011,7.609,unemployment_rate
USA,2011,8.949,unemployment_rate
DEU,2012,5.372,unemployment_rate
IND,2012,7.645,unemployment_rate
USA,2012,8.069,unemployment_rate
DEU,2013,5.316,unemployment_rate
IND,2013,7.678,unemployment_rate
USA,2013,7.375,unemployment_rate
DEU,2014,4.979,unemployment_rate
IND,2014,7.656,unemployment_rate
USA,2014,6.168,unemployment_rate
DEU,2015,4.612,unemployment_rate
IND,2015,7.629,unemployment_rate
USA,2015,5.28,unemployment_rate
DEU,2016,4.104,unemployment_rate
IND,2016,7.611,unemployment_rate
USA,2016,4.869,unemployment_rate
DEU,2017,3.781,unemployment_rate
IND,2017,7.626,unemployment_rate
USA,2017,4.355,unemployment_rate
DEU,2018,3.384,unemployment_rate
IND,2018,7.652,unemployment_rate
USA,2018,3.896,unemployment_rate
DEU,2019,3.163,unemployment_rate
IND,2019,6.51,unemployment_rate
USA,2019,3.669,unemployment_rate
DEU,2020,3.881,unemployment_rate
IND,2020,7.859,unemployment_rate
USA,2020,8.055,unemployment_rate
DEU,2021,3.594,unemployment_rate
IND,2021,6.38,unemployment_rate
USA,2021,5.349,unemployment_rate
DEU,2022,3.137,unemployment_rate
IND,2022,4.822,unemployment_rate
USA,2022,3.65,unemployment_rate
DEU,2023,3.071,unemployment_rate
IND,2023,4.172,unemployment_rate
USA,2023,3.638,unemployment_rate
